No.,Gender,Age,Studies,Studies,Position,Date Hired
235,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
236,Female,35,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
237,Male,28,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
238,Male,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
239,Male,48,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
240,Female,30,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
241,Male,56,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
242,Male,39,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
243,Male,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/1/13
244,Female,35,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
245,Male,41,"Bachelor's Degree ""Pasante""",Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
246,Female,53,High School,High School,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
247,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
248,Female,32,None,None,AGENTE DE PROTECCION AL MIGRANTE,8/16/13
249,Male,35,Bachelor's Degree,Bachelor's Degree,AGENTE DE PROTECCION AL MIGRANTE,8/16/13
250,Female,36,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
251,Male,40,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
252,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
253,Male,32,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
254,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
255,Female,35,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
256,Female,34,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
257,Male,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
258,Male,54,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
259,Male,43,Master's Degree,Master's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
260,Male,33,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
261,Male,37,None,None,"AGENTE FEDERAL DE MIGRACION ""C""",8/16/13
262,Female,28,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
263,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
264,Male,41,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
265,Male,39,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
266,Female,30,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
267,Male,34,None,None,"AGENTE FEDERAL DE MIGRACION ""C""",8/16/13
268,Male,75,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
269,Male,28,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
270,Female,28,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
271,Female,28,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
272,Male,57,None,None,"AGENTE FEDERAL DE MIGRACION ""C""",8/16/13
273,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
274,Female,50,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
275,Female,29,Bachelor's Degree,Bachelor's Degree,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
276,Female,34,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
277,Male,31,None,None,"AGENTE FEDERAL DE MIGRACION ""B""",8/16/13
