Expediente,Ubicacion ,Fecha de Registro,Fecha de Conclusion,Razon de Conclusion,Hechos Violatorios,Autoridad,Pais,Hechos Violatorios,Agency
[C ]2018/8913,Chiapas,,,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,COMAR
[C ]2018/8914,Chiapas,,2/22/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8915,Puebla,,,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,"Xicotepec, Puebla"
[C ]2018/8916,Oaxaca,,6/28/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8917,Tamaulipas,,5/31/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8918,Oaxaca,,7/31/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8926,Chiapas,,2/27/19,FALTA DE INTERES PROCESAL DEL QUEJOSO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8956,,,2/28/19,ORIENTACION,DILACION EN EL PROCEDIMIENTO ADMINISTRATIVO,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2018/8957,Distrito Federal,,,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8958,Quintana Roo,,,CONCILIACION,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2018/8960,Quintana Roo,,2/28/19,ORIENTACION,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2018/8963,Nuevo León,,,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8969,Chiapas,,7/9/19,ORIENTACION,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2018/8970,Veracruz,,2/6/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2018/8976,,,,ORIENTACION,PRACTICAR DE MANERA NEGLIGENTE LAS DILIGENCIAS,Instituto Nacional de Migracion,Mexico,Negligence,INM.
[C ]2018/8979,Distrito Federal,,6/28/19,DURANTE EL TRAMITE RESPECTIVO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,COMAR
[C ]2018/8989,Distrito Federal,,2/28/19,ORIENTACION,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2019/230,Chiapas,,5/24/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/288,Tamaulipas,,3/27/19,DURANTE EL TRAMITE RESPECTIVO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/296,Puebla,,3/25/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/307,Chiapas,,,ORIENTACION,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2019/308,Tamaulipas,,,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/311,Sonora,,6/6/19,DESISTIMIENTO DEL QUEJOSO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,Sonora Governor
[C ]2019/313,Chiapas,,5/22/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/316,Chiapas,,,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/317,Tamaulipas,,3/28/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/318,Tamaulipas,,6/28/19,DURANTE EL TRAMITE RESPECTIVO,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/730,Distrito Federal,,10/31/19,ORIENTACION,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[T ]2019/731,Distrito Federal,,,,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[T ]2019/732,Quintana Roo,,,,"FALTAR A LA LEGALIDAD, HONRADEZ, LEALTAD, IMPARCIALIDAD Y EFICACIA EN EL DESEMPEÑO DE LAS FUNCIONES, EMPLEOS, CARGOS O COMISIONES",Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2019/737,Tabasco,,6/24/19,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/757,Distrito Federal,,9/30/19,POR NO EXISTIR MATERIA,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,COMAR
[C ]2019/758,Distrito Federal,,2/28/19,ORIENTACION,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2019/759,Distrito Federal,,2/28/19,ORIENTACION,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2019/760,Distrito Federal,,2/28/19,ORIENTACION,OMITIR FUNDAR EL ACTO DE AUTORIDAD,Instituto Nacional de Migracion,Mexico,Administrative Procedures,INM.
[C ]2019/761,Distrito Federal,,3/28/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/763,Distrito Federal,,3/29/19,ORIENTACION,ACCIONES  Y OMISIONES CONTRARIOS A LA LEGALIDAD,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2019/765,Distrito Federal,,3/29/19,ORIENTACION,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,INM.
[C ]2019/767,Distrito Federal,,6/28/19,ORIENTACION,ACCIONES  Y OMISIONES CONTRARIOS A LA LEGALIDAD,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
[C ]2019/768,Baja California,,,POR NO EXISTIR MATERIA,ACCIONES Y OMISIONES QUE TRANSGREDEN LOS DERECHOS A LOS MIGRANTES Y DE SUS FAMILIARES,Instituto Nacional de Migracion,Mexico,Migrants' Rights,COMAR
[C ]2019/772,Distrito Federal,,,ORIENTACION,PRESTAR INDEBIDAMENTE EL SERVICIO PUBLICO,Instituto Nacional de Migracion,Mexico,Unlawful Actions,INM.
